age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
46,technician,divorced,secondary,no,-90,no,yes,telephone,17,oct,270,1,-1,0,,yes
30,self-employed,married,tertiary,no,1785,no,no,,17,oct,235,1,-1,0,,yes
49,management,married,tertiary,no,0,no,no,telephone,17,oct,223,1,-1,0,,yes
43,management,married,tertiary,no,0,no,no,telephone,17,oct,147,1,-1,0,,no
36,blue-collar,married,secondary,no,1828,yes,no,telephone,17,oct,24,1,-1,0,,no
28,blue-collar,single,secondary,no,9,yes,no,,17,oct,115,1,-1,0,,no
36,self-employed,single,tertiary,no,-103,yes,yes,telephone,17,oct,3253,1,-1,0,,yes
47,admin.,divorced,secondary,no,555,yes,yes,telephone,17,oct,478,1,-1,0,,yes
37,management,divorced,tertiary,no,199,yes,no,,18,oct,50,1,-1,0,,no
50,blue-collar,married,primary,no,12519,yes,no,,18,oct,37,1,-1,0,,no
32,management,married,tertiary,no,9214,no,yes,,18,oct,71,1,-1,0,,no
31,entrepreneur,married,tertiary,no,79,yes,no,,18,oct,558,1,-1,0,,no
52,technician,married,secondary,no,5303,yes,no,,19,oct,133,1,-1,0,,yes
52,management,married,tertiary,no,6,no,no,telephone,19,oct,57,1,-1,0,,no
45,admin.,divorced,secondary,no,1293,yes,yes,telephone,20,oct,164,1,-1,0,,no
47,admin.,married,secondary,no,24556,no,no,telephone,20,oct,309,1,-1,0,,no
48,student,single,,no,1279,no,no,telephone,20,oct,2429,1,-1,0,,no
43,management,married,tertiary,no,1258,no,no,,20,oct,312,1,-1,0,,yes
30,technician,married,tertiary,no,239,no,no,telephone,20,oct,73,1,-1,0,,no
34,blue-collar,divorced,secondary,no,882,no,yes,telephone,20,oct,24,1,-1,0,,no
44,technician,single,secondary,no,1679,no,no,telephone,20,oct,718,1,-1,0,,yes
30,blue-collar,married,secondary,no,1664,yes,no,telephone,20,oct,2016,1,-1,0,,yes
33,admin.,married,tertiary,no,882,no,no,telephone,21,oct,39,1,151,3,failure,no
32,admin.,married,secondary,no,8749,yes,yes,,21,oct,294,1,-1,0,,yes
42,admin.,single,secondary,no,-247,yes,yes,telephone,21,oct,519,1,166,1,other,yes
40,technician,married,secondary,no,1159,no,no,telephone,21,oct,19,1,-1,0,,no
33,services,married,secondary,no,3444,yes,no,telephone,21,oct,144,1,91,4,failure,yes
58,retired,married,tertiary,no,2199,no,no,telephone,21,oct,65,1,-1,0,,no
35,management,married,tertiary,no,0,yes,no,,21,oct,4,1,-1,0,,no
31,blue-collar,married,primary,no,7424,yes,no,,21,oct,54,1,-1,0,,no
45,admin.,married,secondary,no,5346,yes,yes,,21,oct,187,1,-1,0,,yes
58,management,divorced,tertiary,no,26254,yes,no,,21,oct,49,1,-1,0,,no
45,blue-collar,married,secondary,no,1144,yes,no,,22,oct,676,1,-1,0,,yes
28,student,single,secondary,no,2351,no,no,telephone,22,oct,157,1,-1,0,,yes
36,management,married,tertiary,no,2415,yes,no,telephone,22,oct,73,1,86,4,other,no
42,admin.,single,secondary,no,164,yes,yes,,22,oct,80,1,-1,0,,no
32,technician,single,tertiary,no,5514,no,no,telephone,22,oct,181,1,-1,0,,yes
28,self-employed,married,secondary,no,123,no,yes,telephone,22,oct,313,1,-1,0,,yes
40,management,married,tertiary,no,3352,yes,no,telephone,23,oct,138,1,-1,0,,yes
36,management,married,tertiary,no,0,yes,no,telephone,23,oct,140,1,143,3,failure,yes
44,admin.,divorced,primary,no,429,yes,no,telephone,23,oct,80,1,-1,0,,yes
51,entrepreneur,married,tertiary,no,5254,yes,no,,23,oct,134,1,-1,0,,yes
56,technician,married,secondary,no,589,yes,no,,23,oct,518,1,147,2,success,yes
57,,married,,no,19268,no,no,,23,oct,301,1,-1,0,,yes
26,services,single,secondary,no,1445,no,no,telephone,23,oct,171,1,-1,0,,yes
40,technician,divorced,tertiary,no,568,yes,no,,24,oct,112,1,-1,0,,yes
49,admin.,married,secondary,no,10250,yes,no,telephone,24,oct,97,1,-1,0,,yes
50,management,single,tertiary,no,3537,no,no,,24,oct,305,1,-1,0,,yes
44,blue-collar,married,secondary,no,1324,yes,no,telephone,25,oct,119,1,89,2,other,no
58,admin.,divorced,secondary,no,1947,no,no,telephone,26,oct,228,1,-1,0,,yes
37,admin.,married,secondary,no,1967,no,no,telephone,27,oct,376,1,-1,0,,yes
