age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,campaign,pdays,previous,poutcome,season
57,management,divorced,secondary,no,0,yes,yes,unknown,12,may,more than once,never,never,unknown,spring
28,management,single,tertiary,no,202,yes,no,unknown,14,may,more than once,never,never,unknown,spring
40,technician,single,tertiary,no,1646,yes,no,cellular,2,feb,once,plus 6 months,less than 5,failure,winter
27,unemployed,single,secondary,no,0,no,yes,cellular,3,feb,more than once,never,never,unknown,winter
25,student,single,tertiary,no,293,no,no,cellular,12,apr,once,never,never,unknown,spring
29,management,single,tertiary,no,502,no,no,cellular,12,apr,more than once,plus 6 months,less than 5,other,spring
35,management,single,tertiary,no,5958,yes,no,cellular,22,mar,once,never,never,unknown,spring
59,management,married,tertiary,no,3421,no,no,cellular,4,may,more than once,never,never,unknown,spring
25,technician,married,secondary,no,517,no,no,cellular,28,may,more than once,never,never,unknown,spring
45,admin.,married,unknown,no,13562,yes,no,telephone,20,apr,more than once,never,never,unknown,spring
31,technician,single,secondary,no,1626,no,no,cellular,7,may,more than once,plus 6 months,less than 5,failure,spring
45,blue-collar,married,secondary,no,61,yes,no,unknown,26,may,more than once,never,never,unknown,spring
42,entrepreneur,married,secondary,no,169,yes,no,telephone,15,may,more than once,never,never,unknown,spring
26,blue-collar,single,tertiary,no,567,no,no,cellular,25,may,once,never,never,unknown,spring
35,services,married,secondary,no,2048,yes,no,cellular,11,may,once,6 months,less than 5,failure,spring
28,services,single,secondary,no,6332,yes,no,unknown,29,may,more than once,never,never,unknown,spring
44,technician,divorced,secondary,no,-357,yes,yes,unknown,28,may,more than once,never,never,unknown,spring
28,technician,married,tertiary,no,161,yes,no,cellular,20,apr,more than once,never,never,unknown,spring
45,services,married,secondary,no,0,yes,yes,unknown,23,may,once,never,never,unknown,spring
46,entrepreneur,married,primary,no,1757,yes,no,unknown,30,may,more than once,never,never,unknown,spring
45,management,married,tertiary,no,-319,yes,no,unknown,23,may,once,never,never,unknown,spring
28,unemployed,married,secondary,no,1,no,no,cellular,20,apr,once,never,never,unknown,spring
36,management,divorced,tertiary,no,803,yes,no,cellular,11,may,more than once,never,never,unknown,spring
43,admin.,married,secondary,no,544,yes,no,cellular,7,may,once,never,never,unknown,spring
50,blue-collar,married,primary,no,3924,yes,no,cellular,20,apr,more than once,never,never,unknown,spring
56,technician,married,secondary,no,150,yes,yes,cellular,11,may,more than once,plus 6 months,less than 5,failure,spring
34,admin.,married,secondary,no,75,yes,yes,cellular,25,may,once,never,never,unknown,spring
34,technician,married,secondary,no,656,yes,no,cellular,15,may,more than once,plus 12 months,less than 5,other,spring
41,management,divorced,tertiary,no,47,yes,no,unknown,8,may,once,never,never,unknown,spring
32,admin.,divorced,secondary,no,43,yes,no,unknown,9,may,more than once,never,never,unknown,spring
49,management,divorced,tertiary,no,557,yes,no,cellular,29,jan,once,plus 6 months,less than 5,failure,winter
50,entrepreneur,married,primary,no,199,no,no,cellular,11,may,more than once,plus 6 months,less than 5,failure,spring
28,management,single,tertiary,no,3611,no,no,cellular,26,feb,more than once,never,never,unknown,winter
47,blue-collar,married,primary,no,2749,yes,no,cellular,30,apr,more than once,6 months,less than 5,failure,spring
55,retired,married,secondary,no,-185,no,yes,telephone,2,feb,more than once,never,never,unknown,winter
31,management,single,secondary,no,301,yes,no,unknown,6,may,once,never,never,unknown,spring
32,admin.,single,tertiary,no,89,no,no,telephone,28,jan,once,never,never,unknown,winter
29,entrepreneur,married,secondary,no,714,yes,yes,cellular,13,may,more than once,never,never,unknown,spring
34,blue-collar,married,secondary,no,1454,yes,no,cellular,11,feb,more than once,plus 6 months,less than 5,failure,winter
53,blue-collar,married,secondary,no,6112,no,no,cellular,30,apr,once,6 months,less than 5,success,spring
38,unemployed,married,primary,no,447,yes,no,unknown,7,may,more than once,never,never,unknown,spring
39,blue-collar,divorced,unknown,no,170,yes,no,unknown,6,may,more than once,never,never,unknown,spring
31,management,single,tertiary,no,0,yes,no,cellular,7,may,once,6 months,less than 5,failure,spring
28,blue-collar,married,secondary,no,4287,no,no,cellular,30,apr,once,never,never,unknown,spring
27,admin.,single,secondary,no,619,yes,no,cellular,20,apr,more than once,plus 6 months,less than 5,other,spring
31,technician,single,tertiary,no,703,yes,no,unknown,8,may,more than once,never,never,unknown,spring
32,technician,married,secondary,no,4,no,no,cellular,4,feb,more than once,plus 6 months,less than 5,failure,winter
27,entrepreneur,single,tertiary,no,2159,yes,no,cellular,5,may,once,never,never,unknown,spring
26,admin.,single,secondary,no,274,no,no,cellular,1,apr,more than once,never,never,unknown,spring
29,management,single,tertiary,no,0,yes,no,unknown,30,may,more than once,never,never,unknown,spring
29,student,single,secondary,no,314,no,no,cellular,7,dec,more than once,6 months,less than 5,failure,winter
42,blue-collar,married,secondary,no,2913,no,no,cellular,4,dec,more than once,plus 6 months,less than 5,success,winter
30,blue-collar,married,primary,no,262,yes,no,cellular,20,apr,more than once,plus 6 months,less than 5,other,spring
40,admin.,married,secondary,no,523,yes,yes,unknown,8,may,more than once,never,never,unknown,spring
33,admin.,married,tertiary,no,0,yes,yes,cellular,4,feb,more than once,6 months,less than 5,other,winter
